PCO_NUM,PCO_TITLE,PCO_LINK,PCO_DESC,PCO_AUTHOR,PCO_METHOD,PCO_LENGTH,PCO_TAG
149,Why You Should Think About Financial Independence and Mini-Retirements,https://www.youtube.com/watch?v=XSHNDyinZSQ,Lacey Filipich shares her perspective on the importance of financial independence,TEDx Talks,Video,16 min,Financial Freedom
150,The Simple Path To Financial Independence,https://www.youtube.com/watch?v=_-kUV9HMVMU,Achieving financial independence is simple if you follow,TEDx Talks,Video,11 min,Financial Freedom
151,How To Live Frugally and Achieve Financial Independence,https://www.youtube.com/watch?v=NuYPzliwY78,Do you want to live how Graham Stephan currently lives? Then you need first to begin thinking like him,Graham Stephan,Video,19 min,Financial Freedom
152,Mortgages 101: Basics Every Home Buyer Should Know,https://homebuyer.com/learn/mortgage-101,Interested in buying a home? Here is everything you need to know,Homebuyer.com,Article,8 min,Mortgages
153,What is a mortgage and how does it work?,https://www.cnbc.com/select/what-is-a-mortgage-and-how-does-it-work/,"I know what a mortgage is, but how do they work?",CNBC,Article,4 min,Mortgages
154,8 Types of Mortgage Loans for Buyers and Refinancers,https://www.nerdwallet.com/article/mortgages/types-of-mortgage-loans,Are Mortgage Loans the same? Which one should I use?,Nerdwallet,Article,7 min,Mortgages
155,What are Mortgages?,https://www.youtube.com/watch?v=CBIJwb37O_4&t=83s,A simple explanation of mortgages,Wall Street Survivor,Video,3 min,Mortgages
156,Dave Ramsey Breaks Down The Different Types of Mortgages,https://www.youtube.com/watch?v=HC8MSMYQjOc,"There are many different types of mortgages, and Dave Ramsey goes into depth on each",Ramsey Solutions,Video,6 min,Mortgages
157,"Federal Housing Administration (FHA) Loan: Requirements, Limits, How to Qualify",https://www.investopedia.com/terms/f/fhaloan.asp,Are you a first-time home buyer?,Investopedia,Article,8 min,Mortgages
158,Conventional Mortgage or Loan,https://www.investopedia.com/terms/c/conventionalmortgage.asp,Learn more about mortgages and how to choose the right one for you,Investopedia,Article,5 min,Mortgages
159,Mortgage Process Explained,https://www.investopedia.com/mortgage-process-explained-5213694,Confused about how to get your mortgage and buy your home?,Investopedia,Article,7 min,Mortgages
160,How To Get A Mortgage: A Step-By-Step Guide,https://www.rocketmortgage.com/learn/how-to-get-a-mortgage,Everything you need to know to get approved for your mortgage,Rocket Mortgage,Article,8 min,Mortgages
161,Mortgage Rate,https://www.investopedia.com/terms/m/mortgage-rate.asp,Learn what a mortgage rate is and why they are important to understand,Investopedia,Article,2 min,Mortgages
162,How Does Mortgage Interest Work?,https://www.investopedia.com/mortgage/mortgage-rates/how-it-works/,How much you pay for your home depends on the type of loan you choose,Investopedia,Article,8 min,Mortgages
163,How and Why to Refinance Your Mortgage,https://www.nerdwallet.com/article/mortgages/how-to-refinance-your-mortgage,Mortgage refinancing allows you to save money. Learn how now.,Nerdwallet,Article,7 min,Mortgages
164,What Credit Score Do You Need to Buy a House?,https://www.nerdwallet.com/article/mortgages/whats-exact-credit-score-need-buy-home,Learn why Credit Score is critical in your home buying journey,Nerdwallet,Article,5 min,Mortgages
165,The Pros and Cons of Buying A House,https://www.rocketmortgage.com/learn/pros-and-cons-of-buying-a-house,Owning a home is not for everyone. Learn the pros and cons of buying a house,Rocket Mortgage,Article,6 min,Mortgages
166,Buying a House With Cash vs. Getting a Mortgage,https://www.investopedia.com/articles/personal-finance/111214/buying-home-cash-vs-mortgage.asp,Interested in buying a home but not sure how?,Investopedia,Article,7 min,Mortgages
167,Homeownership as an Investment,https://www.investopedia.com/articles/mortgages-real-estate/08/home-ownership.asp,Are you interested in Investing in real estate and becoming a homeowner?,Investopedia,Article,8 min,Mortgages
168,Should You Get A Mortgage From A Bank or A Mortgage Broker?,https://www.youtube.com/watch?v=PoUsw7_TZmw,Are you thinking about buying a house and taking out a mortgage?,Ramsey Solutions,Video,6 min,Mortgages
169,Mortgage Rates Explained,https://www.youtube.com/watch?v=gNFXYamFc1w,Are you interested in buying a home but don't understand how mortgage interest rates will impact you?,Nerdwallet,Video,8 min,Mortgages
170,When Does Refinancing Your Mortgage Make Sense?,https://www.youtube.com/watch?v=J4JLrR5Ic9U,Are you Interested in refinancing your mortgage?,Ramsey Solutions,Video,6 min,Mortgages
171,"Taxes Definition: Types, Who Pays, and Why",https://www.investopedia.com/terms/t/taxes.asp,Do you know what taxes are?,Investopedia,Article,7 min,Taxes
172,State Income Tax vs. Federal Income Tax: What's the Difference?,https://www.investopedia.com/ask/answers/060515/what-difference-between-state-income-tax-and-federal-income-tax.asp,Ever wonder why some of your income goes to both the state and federal?,Investopedia,Article,5 min,Taxes
173,Why do we pay taxes? Federal Income tax is the biggest source of government funding,https://www.businessinsider.com/personal-finance/why-do-we-pay-taxes,Ever wonder why you need to pay taxes?,Business Insider,Article,3 min,Taxes
174,"Taxation Defined, with Justifications and Types of Taxes",https://www.investopedia.com/terms/t/taxation.asp,A brief lesson on what exactly taxes are,Investopedia,Article,4 min,Taxes
175,State Income Tax Rates in 2022: What They Are and How They Work,https://www.nerdwallet.com/article/taxes/state-income-tax-rates,Interested to learn what your states income tax is?,Nerdwallet,Article,3 min,Taxes
176,What is Federal Income Tax? Definition and Tax Brackets and Rates,https://www.investopedia.com/terms/f/federal_income_tax.asp,What Tax Bracket do you fall into?,Investopedia,Article,5 min,Taxes
177,Taxes: Crash Course Economics,https://www.youtube.com/watch?v=7Qtr_vA3Prw&t=664s,The history of taxes,CrashCourse,Video,12 min,Taxes
178,How to (LEGALLY) Pay $0 in Taxes,https://www.youtube.com/watch?v=jv-rDR6lSFI,Learn about some legal ways you can lower your taxes,The Better Men Project,Video,10 min,Taxes
179,"Capital Gains Tax: What It is, How It Works, and Current Rates",https://www.investopedia.com/terms/c/capital_gains_tax.asp,Do you also need to pay taxes on your investments,Investopedia,Article,7 min,Taxes
180,Capital Gains Taxes Explained: Short-Term Capital Gains vs. Long-Term Capital Gains,https://www.youtube.com/watch?v=sKB_FYHB9CE,Quick crash course on capital gains taxes,TD Ameritrade,Video,5 min,Taxes
181,What taxes do you pay and how do they affect your finances?,https://www.principal.com/individuals/build-your-knowledge/what-taxes-do-you-pay-and-how-do-they-affect-your-finances,"Everyone, in one way or another, has paid taxes",Principal,Article,5 min,Taxes
182,What Happens if You Can't Pay Your Taxes,https://www.investopedia.com/financial-edge/0312/what-happens-when-you-cant-pay-your-taxes.aspx,"If you are thinking about not paying your taxes, think again!",Investopedia,Article,8 min,Taxes
183,"Understanding Tax Brackets, With Examples and Their Pros and Cons",https://www.investopedia.com/terms/t/taxbracket.asp,Do you know what tax bracket you're in?,Investopedia,Article,10 min,Taxes
184,Tax Avoidance Is a Legal Way To Limit Taxes; Tax Evasion is not,https://www.investopedia.com/terms/t/tax_avoidance.asp,What's the difference between tax avoidance and tax evasion?,Investopedia,Article,10 min,Taxes
185,6 Strategies to Protect Income from Taxes,https://www.investopedia.com/articles/personal-finance/032116/top-6-strategies-protect-your-income-taxes.asp,Have you ever wondered how you could pay fewer taxes and keep your money?,Investopedia,Article,10 min,Taxes
186,The 4 Tax Strategies For High Income Earners You Should Bookmark,https://monumentwealthmanagement.com/resource/the-4-tax-strategies-for-high-income-earners-you-should-bookmark/,Here are some high-level strategies the wealthy use to protect their income from taxes,Monument Wealth Management,Article,6 min,Taxes
187,How to File Your Taxes in 5 Simple Steps,https://www.ramseysolutions.com/taxes/five-simple-steps-to-file-your-taxes,"You know you need to pay taxes, but how?",Ramsey Solutions,Article,7 min,Taxes
188,What is a Tax Refund? Definition and When To Expect it,https://www.investopedia.com/terms/t/tax-refund.asp,Curious if you're overpaying in taxes?,Investopedia,Article,8 min,Taxes
189,What is a Tax Return and How Long Must You Keep Them?,https://www.investopedia.com/terms/t/taxreturn.asp,Are you confused how a Tax Return works?,Investopedia,Article,6 min,Taxes
190,How Do Tax Brackets Actually Work?,https://www.youtube.com/watch?v=SJL4UT4wAxc,Understanding Tax Brackets can help you leverage the Tax System,TD Ameritrade,Video,3 min,Taxes
191,5 Simple Ways to Invest in Real Estate,https://www.investopedia.com/investing/simple-ways-invest-real-estate/,Ever thought about investing in real estate?,Investopedia,Article,7 min,Investing
192,How to Start Investing in Real Estate: The Basics,https://www.fool.com/investing/stock-market/market-sectors/real-estate-investing/basics/,"Investing does not have only to take place in the stock market, Real Estate is another option",The Motley Fool,Article,7 min,Investing
193,House Hacking: How Financially Savvy People Live in Expensive Markets While Saving Money,https://www.forbes.com/sites/davidgreene/2018/12/04/house-hacking-how-financially-savvy-people-live-in-expensive-markets-while-saving-money/?sh=321449670f06,Do you want to be a financially savvy person?,Forbes,Article,8 min,Investing
194,House Hacking 101: What It Is and How to Get Started,https://www.biggerpockets.com/real-estate-investing/house-hacking-strategy,Find out if House Hacking is right for you,BiggerPockets,Article,9 min,Investing
195,The ULTIMATE Beginner's Guide to Investing in Real Estate Step-By-Step,https://www.youtube.com/watch?v=VXeaU0i54H0,Learn the blueprint for how to invest in real estate,Graham Stephan,Video,19 min,Investing
196,How To Become A Millionaire Through Real Estate Investing (Newbies!),https://www.youtube.com/watch?v=naZAknwNgkY,Do you aspire to become a millionaire? Real Estate may be the right strategy for you,BiggerPockets,Video,10 min,Investing
197,"What is Estate Planning? Definition, Meaning, and Key Components",https://www.investopedia.com/terms/e/estateplanning.asp,Do you have a family or loved ones? Learn how to do what is best for their financial future,Investopedia,Article,9 min,Financial Freedom
198,Estate Planning: A 7-Step Checklist of the Basics,https://www.nerdwallet.com/article/investing/estate-planning,Learn how you can get started with estate planning,Nerdwallet,Article,6 min,Financial Freedom
199,What is estate planning?,https://www.youtube.com/watch?v=rlsF2IYAAFE,Help take care of your family when you still can,Manulife,Video,3 min,Financial Freedom
200,How to Save Money: 22 Proven Ways,https://www.nerdwallet.com/article/finance/how-to-save-money,Looking for new ways to save money?,Nerdwallet,Article,8 min,Savings
201,How to Save Money for Your Big Financial Goals,https://www.investopedia.com/how-to-save-money-4589942,Have you started saving for your big financial goals yet?,Investopedia,Article,7 min,Savings
